,Name,Distance,Mass,Radius
957,2MASS J16262034+3925190 [de],110.0,0.067775748,0.10584589
959,2MASSW J1632291+190441 [de],50.0,0.046774812,0.0996801099999999
961,WISEPA J164715.59+563208.2,28.0,0.039138108,0.0965972199999999
963,LSPM J1658+7027 [de],60.0,0.069684924,0.10687352
965,2MASSI J1726000+153819,114.0,0.022910112,0.1438681999999999
967,SDSSp J175032.96+175903.9,90.0,0.044865636,0.0996801099999999
969,2MASS J18283572-4849046,39.0,0.04295646,0.0976248499999999
971,LSR J1835+3259,18.5,0.073503276,0.10995641
973,2MASSW J1841086+311727,138.0,0.063957396,0.10379063
975,2MASS J18432213+4040209,46.0,0.091640448,0.12537086
977,2MASS J20004841-7523070,105.0,0.0238647,0.1931944399999999
979,SDSS J204749.61-071818.3,65.0,0.043911048,0.0986524799999999
981,2MASSI J2057540-025230,47.0,0.06682116,0.10481826
983,2MASSI J2104149-103736,62.0,0.065866572,0.10481826
985,PSO J318.5−22,80.0,0.0062048220000000005,0.15722739
987,HB 2124-4228,113.0,0.089731272,0.1243432299999999
989,2MASS J21392676+0220226,32.1,0.043911048,0.0986524799999999
991,2MASS J21481628+4003593,26.3,0.05250234,0.1017353699999999
993,2MASSW J2206450-421721,93.0,0.021000936,0.13667479
995,2MASSW J2208136+292121,154.0,0.025773876,0.1448958299999999
997,2MASSW J2224438-015852,38.0,0.058229868000000004,0.1017353699999999
999,2MASS J22282889-4310262,35.0,0.040092696000000004,0.0965972199999999
1001,2MASS J22373255+3922398,64.0,0.069684924,0.10687352
1003,2MASSW J2244316+204343,56.0,0.011455056,0.1325642699999999
1005,2MASS J23224684-3133231,56.0,0.022910112,0.1428405699999999
1007,2MASS J23225299-6151275,148.0,0.016227996,0.16339317
1009,2MASS J23515044-2537367,67.0,0.084003744,0.1192050799999999
1011,2MASSI J2356547-155310,74.0,0.07636704,0.11201167
1013,WISE 0410+1502,20.0,0.005727528,0.1202327099999999
1015,WISE 0458+6434A,35.9,0.014318820000000001,0.4316046
1017,WISE 0458+6434B,35.9,0.00954588,0.3904993999999999
1019,WISE 1405+5534,25.3,0.028637640000000002,0.08837618
